dataset,model,seed,macro_auroc,mAP,alignment,uniformity,effective_rank,params,final_loss,secs
yeast,kan,42,0.6907464445830096,0.4868043875033357,0.25505438446998596,-3.5319042205810547,48.974849700927734,339840,2.445796489715576,10.2
yeast,mlp,42,0.7170924453565803,0.5138672218396106,0.21848689019680023,-3.6437859535217285,44.0642204284668,339256,2.2505437987191335,2.0
yeast,mlp_ln,42,0.7222330054041769,0.4972900085415512,0.20990057289600372,-3.756579637527466,55.82405471801758,339256,2.070082323891776,2.2
yeast,kan,1337,0.693056062845873,0.47865509437285364,0.2538388669490814,-3.5450031757354736,49.49240493774414,339840,2.4491144589015414,8.4
yeast,mlp,1337,0.7221980395322322,0.5070182680266329,0.2148049920797348,-3.6379454135894775,44.03608322143555,339256,2.2663832562310353,2.1
yeast,mlp_ln,1337,0.7031045101366425,0.49480567853170465,0.20639429986476898,-3.7611348628997803,56.40291213989258,339256,2.0858984674726213,2.2
yeast,kan,2024,0.7030612083627304,0.4798410521196373,0.25679245591163635,-3.5265917778015137,48.66231155395508,339840,2.4717985561915805,8.4
yeast,mlp,2024,0.7331650715720731,0.5196740782684653,0.22017523646354675,-3.6512351036071777,43.87897491455078,339256,2.26082135949816,2.0
yeast,mlp_ln,2024,0.7218829822924065,0.5104713116168274,0.210880309343338,-3.7547688484191895,56.41964340209961,339256,2.073743632861546,2.7
scene,kan,42,0.9418720918497768,0.8361021747262716,0.15978506207466125,-3.5350825786590576,52.88471603393555,559872,2.1611413615090505,11.4
scene,mlp,42,0.9394361652443024,0.8371004297797614,0.12118631601333618,-3.6935343742370605,48.54254150390625,560564,2.0003009353365218,2.8
scene,mlp_ln,42,0.9459679784197547,0.8441112643330358,0.1049710288643837,-3.774553060531616,58.328067779541016,560564,1.8601590224674769,2.8
scene,kan,1337,0.9409033298044922,0.8290322114406017,0.1660948097705841,-3.551016330718994,53.261348724365234,559872,2.1568167890821184,10.6
scene,mlp,1337,0.9418461988285167,0.8334745421128235,0.12071963399648666,-3.6740617752075195,48.38758850097656,560564,1.9969768013272966,2.5
scene,mlp_ln,1337,0.9486446412193562,0.8441735353610268,0.10559873282909393,-3.775193929672241,58.075382232666016,560564,1.8625660794121879,2.7
scene,kan,2024,0.941201342335129,0.8352492125140939,0.1627332717180252,-3.576906681060791,52.96744155883789,559872,2.1853324685777937,11.0
scene,mlp,2024,0.9392350942982235,0.8327916858404735,0.11843755841255188,-3.6903250217437744,48.37598419189453,560564,1.9949021680014474,2.8
scene,mlp_ln,2024,0.9461547226782535,0.8413200355726635,0.1069125086069107,-3.7747128009796143,58.1378059387207,560564,1.867788280759539,3.0
emotions,kan,42,0.8484735874029701,0.7109527634156336,0.40622422099113464,-3.2116730213165283,46.12436294555664,304128,2.61041522026062,2.2
emotions,mlp,42,0.8272787903270453,0.6557445785890433,0.3034345805644989,-3.353936195373535,34.471710205078125,304439,2.3420270681381226,0.5
emotions,mlp_ln,42,0.8167355578005898,0.67861924107489,0.2826264798641205,-3.404172897338867,41.68043899536133,304439,2.170047879219055,0.5
emotions,kan,1337,0.826940202251158,0.6935009565961406,0.3850153684616089,-3.247739791870117,46.348018646240234,304128,2.6438629627227783,2.1
emotions,mlp,1337,0.8168826914185746,0.644402713504436,0.28829413652420044,-3.352506637573242,35.4105224609375,304439,2.318723201751709,0.6
emotions,mlp_ln,1337,0.818369316722832,0.6817066375413713,0.2780051529407501,-3.439020872116089,41.89521408081055,304439,2.164443016052246,0.6
emotions,kan,2024,0.8192906995127985,0.6723892970563612,0.39877235889434814,-3.2320556640625,46.340152740478516,304128,2.655867338180542,2.2
emotions,mlp,2024,0.8383067931548546,0.6760334287486831,0.30267882347106934,-3.3437116146087646,34.90700912475586,304439,2.3334503173828125,0.5
emotions,mlp_ln,2024,0.8242463764372876,0.6814564384227756,0.2896864712238312,-3.43030047416687,41.495243072509766,304439,2.1676512360572815,0.6
mediamill,kan,42,0.7055831525252682,0.10553529098525485,0.1319614201784134,-3.681471109390259,56.91705322265625,359424,2.145570755004883,22.1
mediamill,mlp,42,0.5943011139966233,0.0815721675796613,0.13359549641609192,-3.5817441940307617,45.0377082824707,359864,2.225435435771942,6.4
mediamill,mlp_ln,42,0.6975800254234251,0.11854608565769159,0.14535081386566162,-3.61972713470459,50.92542266845703,359864,2.1889431476593018,6.6
mediamill,kan,1337,0.722263637939284,0.10579887541772097,0.12975618243217468,-3.6730453968048096,56.85680389404297,359424,2.143888607621193,21.7
mediamill,mlp,1337,0.6083967473124609,0.08338542009982614,0.12328074127435684,-3.584210157394409,44.950740814208984,359864,2.234944887459278,6.3
mediamill,mlp_ln,1337,0.6923607262403997,0.11504363553034022,0.13653980195522308,-3.6429834365844727,51.00471878051758,359864,2.190489485859871,6.6
mediamill,kan,2024,0.7189283846307699,0.104765760103257,0.1308119148015976,-3.655632972717285,56.76648712158203,359424,2.141229622066021,23.4
mediamill,mlp,2024,0.5892093858150002,0.08201080087063188,0.12645922601222992,-3.5931897163391113,46.3497314453125,359864,2.204488754272461,6.8
