dataset,seed,auc_cos,auc_knot,auc_smoothed,n_pos,n_neg,final_loss
yeast,42,0.5313601802659667,0.541684846634916,0.541684846634916,7362,7946,2.114
yeast,1337,0.5247601789441378,0.537002981922148,0.537002981922148,7339,6527,2.142
yeast,2024,0.5346060645999342,0.5340186301594033,0.5340186301594033,7663,6622,2.14
yeast,7,0.5330737062644499,0.5264879903255226,0.5264879903255226,7328,6962,2.122
yeast,9001,0.5287146443480077,0.5308518429654265,0.5308518429654265,7582,6769,2.111
mediamill,42,0.5122401147379848,0.6437417898096144,0.6437417898096144,1109389,2784761,1.928
mediamill,1337,0.5056657342587116,0.6392055624301974,0.6392055624301974,1124456,2764761,1.944
mediamill,2024,0.5137397756599278,0.6426448862343028,0.6426448862343028,1121168,2748001,1.945
mediamill,7,0.512751304544716,0.6413215217284693,0.6413215217284693,1113436,2769247,1.929
mediamill,9001,0.5218453573241711,0.6425708179553782,0.6425708179553782,1142242,2753448,1.928
