dataset,method,macro_auroc_mean,macro_auroc_std,mAP_mean,mAP_std,uniformity_mean,uniformity_std,eff_rank_mean,n_seeds
yeast,mlp_infonce,0.7124,0.0057,0.5005,0.0085,-3.7919,0.0015,60.04,5
yeast,mlp_supcon,0.6989,0.0034,0.4898,0.007,-0.4845,0.0129,27.55,5
yeast,mlp_dcl,0.7109,0.0018,0.4975,0.0035,-3.0931,0.0177,29.23,5
yeast,mlp_cosfn,0.7083,0.0027,0.5007,0.0033,-3.6789,0.0026,52.96,5
yeast,kan_infonce,0.7032,0.0063,0.486,0.0046,-3.6258,0.0096,51.88,5
yeast,kan_kpcl,0.7016,0.0046,0.4851,0.0036,-3.5631,0.0102,49.58,5
yeast,kan_kurc,0.7026,0.0066,0.488,0.0034,-3.6446,0.0084,53.23,5
yeast,kan_kpclkurc,0.702,0.005,0.4876,0.0039,-3.6041,0.0049,51.6,5
scene,mlp_infonce,0.9486,0.0015,0.8495,0.0054,-3.8045,0.0017,61.57,5
scene,mlp_supcon,0.9543,0.0015,0.8632,0.0033,-2.1015,0.0183,26.8,5
scene,mlp_dcl,0.9424,0.0019,0.8329,0.0081,-2.7921,0.0657,23.43,5
scene,mlp_cosfn,0.9484,0.0007,0.8494,0.0023,-3.7316,0.0036,57.58,5
scene,kan_infonce,0.9415,0.0025,0.8315,0.0095,-3.6661,0.0128,56.6,5
scene,kan_kpcl,0.9399,0.0023,0.8299,0.0084,-3.5913,0.0149,53.98,5
scene,kan_kurc,0.9417,0.0024,0.8323,0.0083,-3.6821,0.0028,57.67,5
scene,kan_kpclkurc,0.9401,0.0027,0.8303,0.0088,-3.6327,0.0055,55.92,5
emotions,mlp_infonce,0.8162,0.0055,0.676,0.0122,-3.4917,0.0117,45.92,5
emotions,mlp_supcon,0.8075,0.0057,0.6635,0.0062,-1.1824,0.0179,27.96,5
emotions,mlp_dcl,0.8139,0.0093,0.6711,0.0141,-2.7067,0.0384,28.86,5
emotions,mlp_cosfn,0.822,0.0067,0.6837,0.0107,-3.1987,0.0241,37.31,5
emotions,kan_infonce,0.8282,0.0107,0.6838,0.0174,-3.3725,0.0157,47.12,5
emotions,kan_kpcl,0.8277,0.0112,0.6842,0.0148,-3.2506,0.0131,44.93,5
emotions,kan_kurc,0.8263,0.0108,0.6821,0.0153,-3.3766,0.013,47.52,5
emotions,kan_kpclkurc,0.8258,0.0109,0.6807,0.0146,-3.2553,0.0159,45.46,5
mediamill,mlp_infonce,0.6255,0.0045,0.0918,0.004,-3.7068,0.007,59.74,5
mediamill,mlp_supcon,0.7323,0.005,0.1185,0.0018,-0.3061,0.0157,16.99,5
mediamill,mlp_dcl,0.7354,0.0041,0.1156,0.0011,-2.7958,0.0224,19.51,5
mediamill,mlp_cosfn,0.6322,0.0127,0.0879,0.0036,-3.5156,0.0115,47.83,5
mediamill,kan_infonce,0.7057,0.0082,0.1075,0.0014,-3.7307,0.0066,60.41,5
mediamill,kan_kpcl,0.704,0.0078,0.1054,0.0026,-3.5611,0.0074,54.49,5
mediamill,kan_kurc,0.6974,0.0091,0.1053,0.003,-3.7418,0.0038,61.11,5
mediamill,kan_kpclkurc,0.6886,0.0093,0.1013,0.0025,-3.5796,0.0058,56.29,5
bibtex,mlp_infonce,0.7537,0.0089,0.154,0.0081,-3.791,0.003,62.28,5
bibtex,mlp_supcon,0.8423,0.0032,0.2708,0.0038,-2.9857,0.0127,40.95,5
bibtex,mlp_dcl,0.8946,0.0027,0.265,0.0072,-2.9863,0.0329,31.32,5
bibtex,mlp_cosfn,0.7111,0.0064,0.1409,0.0073,-3.5337,0.0172,61.01,5
bibtex,kan_infonce,0.8794,0.0037,0.2166,0.0039,-3.6792,0.0161,58.53,5
bibtex,kan_kpcl,0.8635,0.0023,0.1845,0.0048,-3.5225,0.0298,54.11,5
bibtex,kan_kurc,0.8731,0.0032,0.2042,0.0062,-3.6988,0.0116,59.38,5
bibtex,kan_kpclkurc,0.7656,0.0382,0.1446,0.0182,-3.5946,0.0137,56.88,5
